pair_id,kn_word,te_word,kn_iso,te_iso,synset_id,gloss,candidate_source,label,origin,annotator,notes,en_kn,en_te,needs_gloss
B000067,ಪರಿಚಯವಿರುವ,పరిచయమైన,paricayaviruva,paricayamaina,1415,kn: ಯಾರೋ ಒಬ್ಬರು ಗೊತ್ತಿರುವ ಅಥವಾ ಪರಿಚಯವಿರುವ || te: ఎవ్వరితోనైన ముందే మాట్లాడి ఉండుట.,shared_synset,,,,,Someone you know or are familiar with,Talking to someone before.,false
B000068,ಸೆಳೆತ,కలుపబడిన,seḷeta,kalupabaḍina,,,random,,,,,"The action of rising, falling and receding sea water",Added later,false
B000069,ಸರಿಹೊಂದಿಸುವುದು,పరిష్కరణ,sarihoṁdisuvudu,pariṣkaraṇa,8179,"kn: ಲೋಪ-ದೋಷಗಳನ್ನು ಸರಿಪಡಿಸುವ ಕ್ರಿಯೆ || te: దోషములు, తప్పులను సరిచేయు క్రియ.",shared_synset,,,,,The act of correcting omissions,The act of correcting mistakes.,false
B000070,ನೀರಿನಿಂದ-ತುಂಬಿದಂತ,నీటితో,nīriniṁda-tuṁbidaṁta,nīṭitō,15019,kn: ನೀರಿನಿಂದ ಆವೃತವಾಗಿರುವ || te: దాహమును తీర్చే ముఖ్యమైనదానితో నిండిన,shared_synset,,,,,covered with water,Packed with the essential thirst quencher,false
B000071,ತಪಸಿ,తపస్వీ,tapasi,tapasvī,5929,kn: ತಪಸ್ಸನ್ನು ಮಾಡುವ ವ್ಯಕ್ತಿ || te: తపస్సు చేసే వాడు,shared_synset,,,,,A person who does penance,He who does penance,false
B000072,ಮೂತ್ರ,మూత్ర,mūtra,mūtra,,kn: ಶರೀರದಿಂದ ವಿಸರ್ಜಿತವಾದ ದುರ್ವಾಸನೆಯ ದ್ರವ ವಿಷವುಳ್ಳ ಪದಾರ್ಥ ಜನನೇಂದ್ರಿಯದಿಂದ ಹೊರಬರುತ್ತದೆ || te: రసాయన పదార్థాలలో తయారు చేసే ఒక  ఔషధం,form_similar,,,,,A foul-smelling fluid excreted by the body with a poisonous substance comes out from the genitals,A drug made of chemical substances,false
B000073,ಅಸಭ್ಯವಾದ,అపకృతం,asabhyavāda,apakr̥taṁ,,,random,,,,,Who is not polite,The opposite of good.,false
B000074,ಆಚರಣೆ,ఆచరణ,ācaraṇe,ācaraṇa,,kn: ಯಾವುದೋ ವಸ್ತುವನ್ನು ಉಪಯೋಗಕ್ಕೆ ಬರುವಂತೆ ಮಾಡುವ ಕ್ರಿಯೆ ಅಥವಾ ಭಾವನೆ || te: చెప్పినది చేయడం,form_similar,,,,,The act or feeling of making something useful,Doing what is said,false
B000075,ಮಲಿನ,మలిని,malina,malini,,kn: ಯಾವುದು ಸ್ವಚ್ಚವಲ್ಲವೋ ಅಥವಾ ಅದರಲ್ಲಿ ದೋಷವಿರುವುದೋ || te: ఆడపిల్లలు పన్నెండు లేదా పదమూడు సంవత్సరాలకు అయ్యేది,form_similar,,,,,What is impure or defective,Girls are twelve or thirteen years old,false
B000076,ಸಂಘರ್ಷದ,సంఘర్షణ,saṁgharṣada,saṁgharṣaṇa,,kn: ಯಾರು ಸಂಘರ್ಷವನ್ನು ಮಾಡುತ್ತಿದ್ದಾರೋ || te: రెండు వస్తువుల మద్య కలిగే రాపిడి.,form_similar,,,,,Who is making the conflict?,Friction between two objects.,false
B000077,ಜಗದೀಶ್ವರಿ,సింహధర,jagadīśvari,siṁhadhara,2190,kn: ಶಿವನ ಹೆಂಡತಿ || te: శివుడి యొక్క భార్య,shared_synset,,,,,Shiva's wife,Consort of Lord Shiva,false
B000078,ನಿಷೇಧಿಸು,పోషకుడు,niṣēdhisu,pōṣakuḍu,,,random,,,,,Imprisonment or imposition of sanctions,Giving food to the poor in the name of the dead,false
B000079,ಬಾಧ್ಯಸ್ತ,బాధ్యత,bādhyasta,bādhyata,,kn: ಹಕ್ಕು ಅಥವಾ ಅಧಿಕಾರ ಇಟ್ಟುಕೊಂಡಿರುವ ವ್ಯಕ್ತಿ || te: పనులను పూర్తి చేయించు విధి,form_similar,,,,,A person who holds a right or authority,It is duty to complete tasks,false
B000080,ಅಪ್ರಮಾಣಿಕನಾದಂತಹ,అప్రమాణికమైన,apramāṇikanādaṁtaha,apramāṇikamaina,22363,kn: ಪ್ರಮಾಣಿಕತೆಯನ್ನು ಹೊಂದಿಲ್ಲದಂತಹ || te: నిజం లేనటువంటి,shared_synset,,,,,Uncertified,As if there is no truth,false
B000081,ಶುಭಗಳಿಗೆ,సుభగడియ,śubhagaḷige,subhagaḍiya,11172,kn: ಪ್ರಸಿದ್ಧವಾದ ಜೋತಿಷಿಗಳ ಅನುಸಾರವಾಗಿ ನೀಡಿರುವ ಸಮಯದಲ್ಲಿ ಯಾವುದಾದರು ಶುಭ ಕೆಲಸವನ್ನು ಮಾಡುವಂತಹದ್ದು || te: జ్యోతిష్యున్ని అనుసరించి శుభకార్యం ఎప్పుడు చేయాలో తెలుసుకోవడం,shared_synset,,,,,According to famous astrologers something will do auspicious work at a given time,Follow astrologer to know when to do auspicious work,false
B000082,ಮಂಡಲ,మండలి,maṁḍala,maṁḍali,,kn: ಪ್ರಾಂತ್ಯ ಮೊದಲಾದವುಗಳ ವಿಭಾಗ ಅದು ಒಂದು ವಿಶೇಷ ಅಧಿಕಾರಿಯ ಅಧೀನದಲ್ಲಿರುತ್ತದೆ ಮತ್ತು ಅದು ಜಿಲ್ಲೆಗಳಾಗಿ ವಿಭಜನೆಯಾಗುತ್ತದೆ || te: ఏదైన కార్యం లేద ఉద్దేశం కోసం గుమి కూడిన సమూహం.,form_similar,,,,,A division of a province which is under a special officer and which is divided into districts,A group assembled for some purpose or action.,false
B000083,ಅಭಿವೃದ್ಧಿಯೊಂದಿದ,అభివృద్ధిచెందిన,abhivr̥ddhiyoṁdida,abhivr̥ddhiceṁdina,,"kn: ವೃದ್ಧಿಹೊಂದಿದಂತಹ ಅಥವಾ ಬೆಳೆದಂತಹ || te: ఆర్థికంగా, మరియు అన్ని రంగాలలో ఉన్నత స్థితిలో ఉండటం.",form_similar,,,,,Grown or raised,"Financially, and being in a superior position in all spheres.",false
B000084,ಜೀವದ್ರವ್ಯ,జీవద్రవ్యం,jīvadravya,jīvadravyaṁ,575,kn: ಜೀವ ಕೋಶದ ಒಳಗಿರುವ ಪದಾರ್ಥ || te: కణాలలో ఉన్న జీవపదార్థం,shared_synset,,,,,A substance inside a living cell,Biomass in cells,false
B000085,ಅನೀಶ,కుందుడు,anīśa,kuṁduḍu,2185,kn: ಹಿಂಧೂಗಳ ಪ್ರಕಾರ  ಸೃಷ್ಟಿಯನ್ನು ಪಾಲನೆ ಮಾಡುತ್ತಿರುವುದು ಒಬ್ಬನೇ ದೇವರು || te: హిందువుల విశ్వాసం ప్రకారం దశావతారాలుగల దేవుడు,shared_synset,,,,,"According to Hindus, there is only one God who sustains creation","According to the Hindu belief, the God of Dashavatars",false
B000086,ಸೆಕೆಗಾಲದ,ఎండాకాలం,sekegālada,eṁḍākālaṁ,4856,kn: ವರ್ಷದಲ್ಲಿ ಬರುವ ಆರು ಋತುಗಳಲ್ಲಿ ಎರಡನೇ ಋತು || te: ఎండలు ఎక్కువగా ఉండేకాలం.,shared_synset,,,,,The second season of the six seasons that come in a year,When the sun is high.,false
B000087,ಅಂತಸ್ತುಗಳನ್ನುಳ್ಳ,అంతస్థు,aṁtastugaḷannuḷḷa,aṁtasthu,4632,kn: ಒಂದು ಮನೆಯ ಮೇಲೆ ಮತ್ತೊಂದು ಮನೆಯನ್ನು ಕಟ್ಟುವಿಕೆಯ ವಾಸ್ತು ಅಥವಾ ಕಟ್ಟಡದ ಸ್ವರೂಪ || te: ఒకదాని మీద ఒకటి నిర్మించబడిన ఇండ్లు.,shared_synset,,,,,"Vastu or form of building, building one house on top of another",Houses built on top of each other.,false
B000088,ಖರ್ಜೂರ,ఖర్జూరం,kharjūra,kharjūraṁ,,kn: ಖರ್ಜೂರ ಜಾತಿಯ ಒಂದು ಪ್ರಕಾರದ ಸುಂದರ ಮರ ಪ್ರಾಯಶಃ ಅದು ಜಲಾಶಯಗಳ ದಡದಲ್ಲಿ ಇರುತ್ತದೆ || te: ఎడారిలో ఎత్తైన చెట్లకు పండే ఈత పండు జాతికి చెందినది,form_similar,,,,,A beautiful tree of the Kharjura species probably stands on the banks of reservoirs,"It belongs to the genus Ita, which grows on tall trees in the desert",false
B000089,ಅಲ್ಪಪ್ರಾಣ,అల్పప్రాణాలు,alpaprāṇa,alpaprāṇālu,10425,kn: ವ್ಯಂಜನದ ಉಚ್ಚಾರಣೆಯಲ್ಲಿ ಅವಶ್ಯಕತೆಗಿಂತ ಕಡೆಮೆ ಶ್ವಾಸ ಹೊರಬರುತ್ತದೆ || te: ఒత్తి పలికేటటువంటి,shared_synset,,,,,"In the pronunciation of a consonant, the breath comes out less than necessary",Emphasize,false
B000090,ಕಲಸ,కెలస,kalasa,kelasa,,"kn: ಮಂದಿರ ಮೊದಲಾದವುಗಳ ಶಿಖರದ ಮೇಲೆ ಇಡುವಂತಹ ಅಥವಾ ಮಾಡಿರುವಂತಹ ಕಲಸದ ಆಕಾರದ ಸಂರಚನೆ || te: ఉద్యోగం, సేవ జీవితం మొదలైనవాటికోసం చేసే క్రియ",form_similar,,,,,A urn-shaped configuration placed or made on top of something like a temple,"Action for employment, service life etc",false
B000091,ನಿಸ್ಸಹಾಯ,పుండరీకాక్షుడు,nissahāya,puṁḍarīkākṣuḍu,,,random,,,,,A situation in which he could not do what he wanted,Her eyes are like lotuses,false
B000092,ನ್ಯಾಯಿಕ,నాయిక,nyāyika,nāyika,,kn: ನ್ಯಾಯಕ್ಕೆ ಸಂಬಂಧಿಸಿದ ವಿಷಯ || te: నాయకుడి జోడి,form_similar,,,,,A matter of justice,A pair of leaders,false
B000093,ಸಂಕಲಿತ,సంకలియ,saṁkalita,saṁkaliya,,kn: ಒಂದೆಡೆ ಒಟ್ಟಾಗಿರುವುದನ್ನು ಸೂಚಿಸುವುದು || te: ఇనుముతో తయారుచేసిన గొలుసు.,form_similar,,,,,Denoting togetherness on the one hand,A chain made of iron.,false
B000094,ಟನ್,టన్,ṭan,ṭan,,kn: ಆಂಗ್ಲರ ತೂಕದ ಒಂದು ಮಾಪನ || te: గంట మ్రోగుశబ్దం,form_similar,,,,,A measure of English weight,The sound of the bell,false
B000095,ಪಿಚಕಾರಿ,పిచకారి,picakāri,picakāri,6837,"kn: ಬಣ್ಣ ಮೊದಲಾದವನ್ನು ಸಿಂಪಡಿಸಲು ಕೋವಿಯ,ಬಂದೂಕಿನ ಆಕಾರವುಳ್ಳ ಸಿಂಪಡಿಸುವ ಸಾದನ || te: ఏదైనా ద్రవపదార్థం ఒక నాళము గుండా వేగంగా బయటకు వచ్చుట",shared_synset,,,,,A gun-shaped sprayer for spraying paint etc,Any fluid that flows rapidly through a vessel,false
B000096,ಪುಡಿ,పొడి,puḍi,poḍi,509,kn: ಒಂದು ಪ್ರಕಾರದ ಔಷಧಿ ಅದು ಪುಡಿಯ ಅಥವಾ ಹಿಟ್ಟಿನ ರೂಪದಲ್ಲಿ ಇರುತ್ತದೆ || te: ఒక ప్రకారంగా ఔషదచూర్ణము తీసుకోవడంవలన స్వరూపము వస్తుంది.,shared_synset,,,,,One type of medicine is in powder or powder form,"According to one, by taking Aushadachurna, form comes.",false
B000097,ಬೊಮ್ಮನ್,బొమ్మ,bomman,bomma,,kn: ಬ್ರಹ್ಮಣರನ್ನು ಕುರಿತು ಬಳಸುವ ನಿಂದಾರ್ಥಿ ಶಬ್ದ || te: మట్టితో తయారుచేసిన ఆకృతులు,form_similar,,,,,A derogatory term used for Brahmins,Shapes made of clay,false
B000098,ಶೂರ,సాహసవంతుడు,śūra,sāhasavaṁtuḍu,1768,kn: ಧೈರ್ಯಶಾಲಿಯಾದ ಮತ್ತು ದೃಧವಾದ ಮೈಕಟ್ಟನು ಹೊಂದಿದ ಸಾಮಾನ್ಯರಿಗಿಂತ ಹೆಚ್ಚು ಬಲಶಾಲಿಯಾದ ವ್ಯಕ್ತಿ || te: ధైర్యంతో సాహసం చేయు వ్యక్తి,shared_synset,,,,,A person stronger than the common man with a brave and strong build,An adventurous person,false
B000099,ಖಾನ್,ఖాన్,khān,khān,11965,kn: ಪಠಾನ್ ಜಾತಿಗೆ ಸೇರಿ ವ್ಯಕ್ತಿ || te: పఠాన్ జాతిలోని ఒక ఉద్యోగి,shared_synset,,,,,A person belonging to the Pathan caste,An employee of the Pathan caste,false
B000100,ಸದನ,సదనం,sadana,sadanaṁ,,"kn: ಮನುಷ್ಯರು ವಾಸಮಾಡಲು ಕಟ್ಟಿಕೊಂಡ ಸೂರು ಅಥವಾ ಮನುಷ್ಯರು ವಾಸಮಾಡುವ ಸ್ಥಳ || te: ఎండ, వాన, చలి నుంచి కాపాడుకోవాడానికి నిర్మించుకునేది",form_similar,,,,,A roof built for human habitation or a place where humans live,"It was built to protect from sun, rain and cold",false
B000101,ಅತ್ಯಧಿಕವಾದಂತ,అత్యధికమైన,atyadhikavādaṁta,atyadhikamaina,2090,kn: ಯಾವುದಾದರೂ ನಿರ್ದಿಷ್ಟ ಸಂಖ್ಯಾ ಪ್ರಮಾಣಕ್ಕಿಂತ ಹೆಚ್ಚಾಗಿರುವ ಪ್ರಮಾಣ || te: మిక్కిలి ఎక్కువ.,shared_synset,,,,,A quantity greater than a certain numerical quantity,Too much.,false
B000102,ಪದ-ಹೇಳು,గేయం,pada-hēḷu,gēyaṁ,236,"kn: ರಾಗ, ತಾಳ ಮತ್ತು ಲಯಗಳ ಜೊತೆಗೂಡಿ ಬಾಯಿಯಿಂದ ಬರುವ ಶಾಬ್ದಿಕ ಸಂವಹನದ ಪ್ರಕ್ರಿಯೆ || te: రాగం, తాళం, పల్లవులను కలిగి ఉండేది",shared_synset,,,,,"The process of verbal communication through the mouth accompanied by raga, tala and laya","It consisted of raga, talam and pallava",false
B000103,ಪರ್ವಗಾಮಿ,స్పర్శించిన,parvagāmi,sparśiṁcina,,,random,,,,,Intercourse is also done on the day of the festival,touched,false
B000104,ಅವಿಶ್ವಾಸಿ,అవిశ్వాసమైన,aviśvāsi,aviśvāsamaina,1323,kn: ವಿಶ್ವಾಸಕ್ಕೆ ಅರ್ಹನಲ್ಲದವನು ಅಥವಾ ನಂಬಿಕೆಗೆ ಅರ್ಹನಲ್ಲದವ || te: విశ్వాసం లేని,shared_synset,,,,,Untrustworthy or untrustworthy,Faithless,false
B000105,ವಾಮನಾ,వామన,vāmanā,vāmana,22217,kn: ಒಬ್ಬ ಅಪ್ಸರಾ || te: ఒక అప్సరస,shared_synset,,,,,An apsara,A nymph,false
B000106,ಚಿನ್ನದ,చిన్నది,cinnada,cinnadi,,kn: ಬಂಗಾರದಿಂದ ಮಾಡಿದಂತಹ || te: పెద్దది కానిది,form_similar,,,,,Like made of gold,Not a big one,false
B000107,ರಾಜಿನಾಮೆ,వీక్షించదగిన,rājināme,vīkṣiṁcadagina,,,random,,,,,A point equidistant,viewable,false
B000108,ಸ್ವಾದಿಷ್ಟವಾದಂತ,స్వాధిష్టమైన,svādiṣṭavādaṁta,svādhiṣṭamaina,3705,kn: ಯಾವುದೇ ಪದಾರ್ಥದ ರುಚಿ ಉತ್ತಮವಾಗಿರುವುದು || te: మళ్ళి మళ్ళి తినాలనిపించేలా ఉండటం,shared_synset,,,,,Any ingredient tastes good,A desire to eat again and again,false
B000109,ಹಸ್ತ,హస్తా,hasta,hastā,11287,kn: ಎಪ್ಪತ್ತೇಳು ನಕ್ಷತ್ರಗಳಲ್ಲಿ ಹದಿಮೂರನೇ ನಕ್ಷತ್ರ || te: ఇరవై ఏడు నక్షత్రాలలో పదమూడవది,shared_synset,,,,,Thirteenth of the seventy seven stars,Thirteenth of the twenty-seven stars,false
B000110,ದೀನಬಂಧು,ఆదికర్త,dīnabaṁdhu,ādikarta,47,kn: ಧರ್ಮ ಗ್ರಂಥಗಳ ಪ್ರಕಾರ ಅವರು ಶೇಷ್ಠ ಸತ್ಯ ಸೃಷ್ಟಿಯಲ್ಲಿ ಗೌರವಸಲು ಪಡುವರು || te: ధర్మగ్రంధం ప్రకారం సృష్టిని సృష్టించి తన అదుపాజ్ఞలలో పెట్టుకునేవాడు,shared_synset,,,,,"According to the scriptures, he is to be honored in the creation of the ultimate truth","According to the scriptures, he creates creation and puts it in his precepts",false
B000111,ಹಲ್ಲು,హల్లు,hallu,hallu,,"kn: ಜೀವಿಗಳ ಬಾಯಲ್ಲಿ ಮೊಳಕೆಯ ರೂಪದಲ್ಲಿ ದವಡೆಯ ಕೆಳ-ಮೇಲ್ಭಾಗದಲ್ಲಿ ಸಾಲಾಗಿ ಬೆಳೆದ ಹಲ್ಲಿನಿಂದ ಏನನ್ನಾದರೂ ತಿನ್ನುವರು, ತಿಂಡಿಯನ್ನು ಜಗಿಯುವರು || te: స్వరం కలవని శుద్ధ వ్యంజనం",form_similar,,,,,"In the mouth of the creature in the form of a bud in the lower-upper part of the jaw, something is eaten by a row of teeth, chewing the food.",A pure unvoiced consonance,false
B000112,ಆಮ್ಲ,ఆమ్లిక,āmla,āmlika,638,kn: ನೀರಿನಲ್ಲಿ ಹುಳಿಯನ್ನು || te: ఒక పుల్లని క్షార లవణం కలిగిన ద్రవ పదార్థం.,shared_synset,,,,,Sour in water,A liquid substance containing an acid base salt.,false
B000113,ಸಂಖ್ಯಾ-ಶಾಸ್ತ್ರ,సంఖ్యాశాస్త్రం,saṁkhyā-śāstra,saṁkhyāśāstraṁ,,kn: ಮಾನವನ ಜೀವನದ ಮೇಲೆ ಆಗುವಂತಹ ಸಂಖ್ಯೆಗಳ ನಿಗೂಢ ಪ್ರಭಾವಕ್ಕೆ ಸಂಬಂಧಿಸಿದ  ಶಾಸ್ತ್ರ || te: సంఖ్యలు గురించి తెలిపే శాస్త్రం,form_similar,,,,,A science related to the mysterious influence of numbers on human life,The science of numbers,false
B000114,ಮುಳುಗುತ್ತಿರುವಂತ,నత్తివాడు,muḷuguttiruvaṁta,nattivāḍu,,,random,,,,,Sunset is approaching,A person who speaks indistinctly,false
B000115,ಆವೀಕರಣ,ఆవిరైన,āvīkaraṇa,āviraina,12349,kn: ಸುಲಭವಾಗಿ ಆವಿಯಾಗಿ ಬದಲಾಗುವಂತಹ || te: కరిగిపోవడం,shared_synset,,,,,Easily vaporized,dissolution,false
B000116,ಯುದ್ಧರಂಗ,రూపకాలంకారరహితమైన,yuddharaṁga,rūpakālaṁkārarahitamaina,,,random,,,,,A place where two states or two countries fight each other for reasons such as for power or to conquer and occupy the other,An embellishment that contradicts the allegory,false
B000117,ಮೂತ್ರನಾಳ,మూత్రమార్గం,mūtranāḷa,mūtramārgaṁ,32103,kn: ಮೂತ್ರ ಹೊರಬರುವ ಸ್ಥಾನ || te: మూత్రం రావడంలో సమస్య,shared_synset,,,,,Urinary outlet,Problem passing urine,false
B000118,ಸುಕುಮಾರತೆ,సుకుమారం,sukumārate,sukumāraṁ,11207,kn: ಸುಕುಮಾರ ಅಥವಾ ನಾಜೂಕಾಗುವ ಅವಸ್ಥೆ ಅಥವಾ ಭಾವ || te: నాజూకుతనం,shared_synset,,,,,The state or mood of becoming sukumar or delicate,fragility,false
B000119,ತೆರಪು,తెరచు,terapu,teracu,,kn: ಯಾವುದೇ ಒಂದು ಪೂರ್ಣಾವಧಿಯ ಮಧ್ಯದ ಅವಧಿಯ ವಿರಾಮ || te: మూసిఉన్న దానిని తీయడం.,form_similar,,,,,Any one full term mid-term break,Picking up something closed.,false
B000120,ವಿದೇಶೀಯಂತಹ,విదేశీయ,vidēśīyaṁtaha,vidēśīya,198,kn: ಬೇರೆ ದೇಶಕ್ಕೆ ಸೇರಿದ್ದು || te: మన దేశము కానిది.,shared_synset,,,,,Belongs to another country,Not our country.,false
B000121,ಭವನ,భావన,bhavana,bhāvana,,"kn: ಇಟ್ಟಿಗೆ ಕಲ್ಲು, ಮರ ಮುಂತಾದವುಗಳಿಂದ ಕಟ್ಟಿದ ಕಟ್ಟಡದಲ್ಲಿ ಮೇಲ್ ಚಾವಣೆ ಮತ್ತು ಗೋಡೆ ಇರುವುದು || te: అనుభవం మరియు స్మృతి నుండి మనసుకు కలిగేవి",form_similar,,,,,"A building made of brick, stone, wood, etc. has a roof and a wall",What comes to the mind from experience and memory,false
B000122,ಸ್ನೇಹಿತ,సంగడీడు,snēhita,saṁgaḍīḍu,715,kn: ಪರಸ್ಪರ ಒಬ್ಬರಿಗೊಬ್ಬರು ಆಪ್ತರಾಗಿ ವಯಕ್ತಿಕ ವಿಷಯಗಳನ್ನು ಹಂಚಿಕೊಳ್ಳುವಷ್ಟು ಪರಸ್ಪರ ಕಷ್ಟಗಳಲ್ಲಿ ಭಾಗಿಯಾಗುವಷ್ಟು ಹತ್ತಿರವಾದವರು || te: మైత్రికలవాడు,shared_synset,,,,,Close enough to share personal matters with each other and share in each other's difficulties.,Maitrikalava,false
B000123,ಸರಿಯಾದ,సార్థకమైన,sariyāda,sārthakamaina,3846,kn: ಯಾವುದು ತನ್ನ ಸರಿಯಾದ ಅರ್ಥದಲ್ಲಿ ಪೂರ್ಣವಾಗಿ ರಚಿಸಿದ ಅಥವಾ ನಿರ್ಮಿತವಾಗಿರುತ್ತದೆಯೋ (ಉಕ್ತಿ ಅಥವಾ ಹೇಳಿಕೆ) || te: అర్ధమవడం,shared_synset,,,,,What is fully formed or constructed in its proper sense (an utterance or statement).,to understand,false
B000124,ಅನುರಕ್ತಿ,అనురక్తి,anurakti,anurakti,,"kn: ಸ್ತ್ರೀ ಮತ್ತು ಪುರಷರ ನಡುವಣ ಉಂಟಾಗುವ ಶೃಂಗಾರ ರೂಪದ, ಭಾವಾವಸ್ಥೆ || te: బలమైన అభిమానం",form_similar,,,,,A state of affection between men and women,A strong fan,false
B000125,ಸೋದರ,సోదరుడు,sōdara,sōdaruḍu,80,kn: ವಯಸ್ಸಿನಲ್ಲಿ ಚಿಕ್ಕವನು || te: సోదరుడు వయసులో చిన్న.,shared_synset,,,,,Younger in age,Brother is younger.,false
B000126,ಅರ್ಕ,ధన్వంతరి,arka,dhanvaṁtari,2186,kn: ನಮ್ಮ ಸೌರಮಂಡಲದಲ್ಲಿ ದೊಡ್ಡ ಮತ್ತು ಜ್ವಾಲೆಯ ಗುಂಡಿನಿಂದ ಎಲ್ಲಾ ಗ್ರಹಕ್ಕು ಬಿಸಿಲು ಮತ್ತು ಬೆಳಕು ಸಿಗುವುದು || te: పగటిపూట వెలుగును ఇచ్చే గ్రహం,shared_synset,,,,,All the planets in our solar system get their sun and light from a large and flaming fireball,A planet that gives light during the day,false
B000127,ಅಲೆಮಾರಿ,యజమానిలేని,alemāri,yajamānilēni,7911,kn: ಯಾರೂ ದಿಕ್ಕಿಲ್ಲದ || te: మంచిచెడులు చూసేవారులేని,shared_synset,,,,,No one has direction,There is no one to see good and bad,false
B000128,ಅಭಿವೃದ್ಧಿ,ఉన్నతి,abhivr̥ddhi,unnati,13475,"kn: ಭಾವನೆ, ಮೌಲ್ಯ, ಮಹತ್ವ ಮುಂತಾದವುಗಳನ್ನು ಮೀರಿ ದೊಡ್ಡದಾದ ಸ್ಥಿತಿ || te: మూల్యం, డబ్బు గౌరవం మొదలైనవి అన్ని పెద్ద మొత్తంలో ఉండటం",shared_synset,,,,,"A state that is greater than emotion, value, significance etc","Value, respect for money etc. are all large sums",false
B000129,ಉಪಕಾರ,ఉపకారం,upakāra,upakāraṁ,,kn: ಯಾವುದೇ ರೀತಿಯ ಹಿತವಾದ ಅಥವಾ ಒಳ್ಳೆಯ ಕೆಲಸವನ್ನು ಅಥವಾ ಕಷ್ಟದ ಕಾಲದಲ್ಲಿ ಇನ್ನೊಬ್ಬರಿಗೆ ಸಹಾಯ ಮಾಡುವಿಕೆ || te: హాని చేయకుండా ఉండుట.,form_similar,,,,,Any kind of pleasant or good deed or helping another in difficult times,Avoid harm.,false
B000130,ಸ್ವಾಗತಿಸುವವ,ఆహ్వానితుడు,svāgatisuvava,āhvānituḍu,11151,kn: ಯಾರೋ ಮಾನ್ಯರು ಅಥವಾ ಪ್ರಿಯವಾದ ವ್ಯಕ್ತಿಗಳು ಬಂದಾಗ ಮುಂದೆ ಹೋಗಿ ಅವರಿಗೆ ಅಭಿವಂದನೆ ಸಲ್ಲಿಸುವುದು || te: పిలుపు అందిన వ్యక్తి,shared_synset,,,,,"When someone respectable or beloved person arrives, go forward and greet them",The person who received the call,false
B000131,ಬೆಕ್ಕಸ,మెకం,bekkasa,mekaṁ,,,random,,,,,A supernatural act (unable to be performed by ordinary humans) that causes awe and wonder.,An animal that is always in the dirt,false
B000132,ಅನ್ಯದೇಶೀಯ,ఇతరదేశీయ,anyadēśīya,itaradēśīya,198,kn: ಬೇರೆ ದೇಶಕ್ಕೆ ಸೇರಿದ್ದು || te: మన దేశము కానిది.,shared_synset,,,,,Belongs to another country,Not our country.,false
B000133,ಸೌಖ್ಯ,సంఖ్య,saukhya,saṁkhya,,kn: ಯಾವುದೇ ಕೆಲಸ ಕಾರ್ಯದಿಂದ ಒಳ್ಳೆಯದಾಗುವುದು || te: లెక్క చూచిక,form_similar,,,,,Any work can be good,Check the calculation,false
B000134,ಮುತ್ತಿನಮಾಲೆ,ముత్యాలమాల,muttinamāle,mutyālamāla,1204,kn: ಮುತ್ತಿನ ಹಾರ ಅಥವಾ ದಾರದಲ್ಲಿ ಮುತ್ತನ್ನು ಪೋಣಿಸಿ ಮಾಡುರುವಂತಹ ಹಾರ || te: ఆల్చిప్పలో పుట్టే విలువైన పూస,shared_synset,,,,,A pearl necklace or necklace with pearls strung on a string,Alchippa is a precious bead,false
B000135,ಗಣಪ,గడప,gaṇapa,gaḍapa,,"kn: ಹಿಂದೂಗಳ ಪ್ರಧಾನ ಮತ್ತು ಅಗ್ರಪೂಜೆಯನ್ನು ಮಾಡುವ ದೇವರು, ಮನುಷ್ಯ ಶರೀರವನ್ನು ಹೊಂದಿದ್ದು ಆನೆಯ ಮುಖವನ್ನು ಹೊಂದಿರುವ ದೆವರು || te: ఇంటి లోపలికి, బయటికి వెళ్ళే దారి",form_similar,,,,,"The main and most worshiped deity of the Hindus, Deva has a human body and an elephant face",The way in and out of the house,false
B000136,ದಹನ-ಕ್ರಿಯೆ,దహనక్రియ,dahana-kriye,dahanakriya,,kn: ಸುಡು ಅಥವಾ ಸುಟ್ಟುಕೊಳ್ಳುವಿಕೆಯ ಕ್ರಿಯೆ ಅಥವಾ ಭಾವ || te: చనిపోయిన వ్యక్తిని కాల్చడం,form_similar,,,,,The act or feeling of burning or burning,Burning the dead,false
B000137,ಮಹೇಂದ್ರ,జనార్ధనుడు,mahēṁdra,janārdhanuḍu,2185,kn: ಹಿಂಧೂಗಳ ಪ್ರಕಾರ  ಸೃಷ್ಟಿಯನ್ನು ಪಾಲನೆ ಮಾಡುತ್ತಿರುವುದು ಒಬ್ಬನೇ ದೇವರು || te: హిందువుల విశ్వాసం ప్రకారం దశావతారాలుగల దేవుడు,shared_synset,,,,,"According to Hindus, there is only one God who sustains creation","According to the Hindu belief, the God of Dashavatars",false
B000138,ಕಾಪರ್,కాపరి,kāpar,kāpari,,"kn: ಕೆಂಪು ಬಣ್ಣದ ಪದಾರ್ಥದ ಲೋಹ ಅದರಿಂದ ಪಾತ್ರೆ, ತಂತಿ ಮೊದಲಾದವುಗಳನ್ನು ಮಾಡುತ್ತಾರೆ || te: ఇతరుల బారినుండి మనల్ని రక్షించుకొనేందు ఏర్పర్చుకొన్న వ్యక్తి.",form_similar,,,,,"A red colored metal, utensils, wire etc. are made from it",A person who is created to protect us from others.,false
